OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
MMS 1,2015-011A,2026-07-19T22:00:00.999072,0.28304316,.8300674,72.4968,348.4132,168.1738,37.1707,0,U,40482,999,137,0,-.127E-4,0
MMS 2,2015-011B,2026-07-19T22:00:00.999072,0.28304258,.8303489,72.5008,348.4122,168.1765,37.1573,0,U,40483,999,137,0,-.127E-4,0
MMS 3,2015-011C,2026-07-19T22:00:00.999072,0.28304187,.8301858,72.5005,348.4240,168.1843,37.1312,0,U,40484,999,134,0,-.1269E-4,0
MMS 4,2015-011D,2026-07-19T22:00:00.999072,0.28304220,.8301813,72.4960,348.4075,168.1942,37.1270,0,U,40485,999,137,0,-.127E-4,0
ASTROSAT,2015-052A,2026-07-19T17:14:41.437824,14.82555924,.0007593,5.9969,281.1957,142.8012,217.2643,0,U,40930,999,58466,.48976E-4,.1073E-4,0
DAMPE,2015-078A,2026-07-19T20:26:11.232096,15.30860334,.0011055,97.4568,206.4818,328.3810,31.6766,0,U,41173,999,58954,.26107E-4,.701E-5,0
PISAT,2016-059B,2026-07-19T11:57:36.277056,14.69033802,.0030552,97.8193,199.5653,101.6970,258.7667,0,U,41784,999,52448,.78635E-4,.417E-5,0
HXMT (HUIYAN),2017-034A,2026-07-19T19:46:16.631040,15.18710911,.0031711,43.0153,1.2782,349.8676,10.1530,0,U,42758,999,50262,.10961E-3,.2097E-4,0
FLYING LAPTOP,2017-042G,2026-07-19T20:17:34.829664,15.01331609,.0019453,97.4834,355.1546,17.7534,342.4366,0,U,42831,999,49135,.16447E-3,.2067E-4,0
ZHANGHENG 1-01 (CSES-1),2018-015C,2026-07-19T20:08:18.002400,15.20642968,.001676,97.6902,7.1502,149.4964,210.7249,0,U,43194,999,46960,.15818E-3,.3409E-4,0
SALSAT,2020-068K,2026-07-19T10:52:42.083040,15.30206359,.00096718,97.8865,205.4942,177.8105,182.3178,0,U,46495,999,32029,.13371977E-3,.3827E-4,0
IXPE,2021-121A,2026-07-19T20:00:01.999008,15.10512839,.0006886,0.2300,70.1909,212.0370,267.0242,0,U,49954,999,567,.30193E-3,.6046E-4,0
SMILE,2026-109A,2026-07-13T23:01:31.580256,0.47500629,.83137076,70.0512,206.6048,286.9544,0.1879,0,U,69123,999,6,0,.936E-5,0
