OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SAUDISAT 1C (SO-50),2002-058C,2026-07-16T06:51:06.991776,14.83099465,.00744899,64.5519,38.9516,257.0714,102.2066,0,U,27607,999,26877,.59480408E-4,.351E-5,0
SAUDISAT 2,2004-025F,2026-07-15T22:43:42.742272,14.56698464,.0024111,98.5521,197.6738,205.8266,154.1730,0,U,28371,999,16993,.31378E-4,.91E-6,0
SAUDISAT 3,2007-012B,2026-07-16T07:05:29.668992,14.71440595,.00156543,98.1468,147.7176,131.4500,228.8054,0,U,31118,999,3202,.23183074E-4,.93E-6,0
PISAT,2016-059B,2026-07-15T22:57:17.027712,14.69030442,.0030459,97.8191,196.1748,112.4897,247.9539,0,U,41784,999,52396,.81603E-4,.435E-5,0
FLYING LAPTOP,2017-042G,2026-07-16T07:30:53.372736,15.01316774,.00196455,97.4809,351.7505,28.9665,331.2646,0,U,42831,999,49082,.1427554E-3,.1786E-4,0
SALSAT,2020-068K,2026-07-16T05:58:34.584960,15.30180346,.00093214,97.8856,202.0925,188.9749,171.1325,0,U,46495,999,31980,.1336874E-3,.3822E-4,0
