OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
WORLDVIEW-2 (WV-2),2009-055A,2026-07-15T04:57:56.630016,14.37906907,.0005313,98.4756,269.2750,129.8113,230.3542,0,U,35946,999,87967,.26868E-4,.38E-6,0
SMOS,2009-059A,2026-07-15T03:02:44.808000,14.39736031,.0001152,98.4428,23.0524,96.2613,263.8707,0,U,36036,999,87747,.53846E-4,.125E-5,0
YAOGAN-7,2009-069A,2026-07-15T02:47:09.690432,14.78035480,.0023505,98.0033,81.8060,311.5980,48.3216,0,U,36110,999,89375,.35471E-4,.204E-5,0
TANDEM-X,2010-030A,2026-07-07T11:29:58.986816,15.19154052,.0001887,97.4457,195.8973,94.3019,265.8431,0,U,36605,999,88972,.21566E-4,.386E-5,0
CARTOSAT-2B,2010-035A,2026-07-15T03:39:30.600000,14.78615596,.0012555,97.9942,246.5206,99.3986,260.8645,0,U,36795,999,86398,-.96833E-5,-.123E-5,0
YAOGAN-10,2010-038A,2026-07-15T05:46:34.055616,14.85431037,.0001666,97.8967,219.4212,83.7186,342.7332,0,U,36834,999,86137,.16936E-3,.1406E-4,0
COSMO-SKYMED 4,2010-060A,2026-07-15T04:34:26.090400,14.82147120,.0001461,97.8885,19.3849,86.4251,273.7130,0,U,37216,999,84871,-.38507E-5,-.83E-6,0
RESOURCESAT-2,2011-015A,2026-07-15T04:07:20.363808,14.21599508,.0011548,98.7632,263.4184,171.1386,188.9997,0,U,37387,999,79015,.17618E-4,-.6E-7,0
HAIYANG-2A,2011-043A,2026-07-15T05:18:08.991360,13.73342357,.0002527,99.3395,198.2549,27.2768,332.8513,0,U,37781,999,75050,-.11639E-3,-.151E-5,0
RASAT,2011-044D,2026-07-15T05:58:43.490208,14.68193548,.0021924,98.0588,287.2179,102.6446,281.1354,0,U,37791,999,79730,.8018E-4,.414E-5,0
SRMSAT,2011-058D,2026-07-15T05:01:33.049056,14.11581103,.0011779,19.9709,249.8602,151.3491,247.8905,0,U,37841,999,76178,.3913E-4,.337E-5,0
PLEIADES 1A,2011-076F,2026-07-15T04:31:09.655680,14.58546279,.0001669,98.1976,270.9135,80.2866,4.4145,0,U,38012,999,77607,-.76596E-6,-.49E-6,0
ZIYUAN 1-02C (ZY 1-02C),2011-079A,2026-07-15T04:28:34.838976,14.38235189,.0005611,98.4067,262.9082,214.8819,230.4293,0,U,38038,999,76323,.30816E-4,.51E-6,0
ARIRANG-3 (KOMPSAT-3),2012-025B,2026-07-15T05:25:15.233664,14.62229025,.0006221,98.1185,153.2048,38.8432,321.3216,0,U,38338,999,75544,.45831E-4,.184E-5,0
EXACTVIEW-1 (ADS-1B),2012-039C,2026-07-15T04:28:39.540000,14.24992200,.0011946,98.9805,314.2128,91.5586,268.6961,0,U,38709,999,72669,.35322E-4,.36E-6,0
SPOT 6,2012-047A,2026-07-15T04:30:05.451840,14.58538812,.0001085,98.2114,263.1667,85.9709,274.1614,0,U,38755,999,73713,.29471E-4,.91E-6,0
PLEIADES 1B,2012-068A,2026-07-15T04:56:52.128096,14.58534351,.0001565,98.1947,270.8705,79.7859,280.3517,0,U,39019,999,72493,.28806E-4,.88E-6,0
GOKTURK 2,2012-073A,2026-07-15T03:43:23.018592,14.75566995,.0000916,97.6805,32.1835,92.1506,267.9809,0,U,39030,999,72863,-.15264E-4,-.151E-5,0
LANDSAT 8,2013-008A,2026-07-15T04:18:19.466208,14.57111845,.0001342,98.2290,265.9805,94.3554,265.7798,0,U,39084,999,70197,.43916E-4,.152E-5,0
SARAL,2013-009A,2026-07-15T04:22:32.548224,14.32895801,.0001701,98.5555,22.3955,166.5690,193.5540,0,U,39086,999,69961,.27324E-4,.31E-6,0
GAOFEN-1,2013-018A,2026-07-15T04:28:43.998240,14.76519290,.0017065,97.9092,267.6837,171.1828,188.9684,0,U,39150,999,71237,.52053E-4,.313E-5,0
VNREDSAT 1,2013-021B,2026-07-15T03:54:38.930976,14.64883086,.000158,97.9069,248.5035,79.8367,280.3015,0,U,39160,999,70438,.13893E-4,.29E-6,0
ARIRANG-5 (KOMPSAT-5),2013-042A,2026-07-15T03:59:05.269344,15.04495018,.0005429,97.6203,22.4736,57.9631,302.2121,0,U,39227,999,70806,.33348E-4,.406E-5,0
SKYSAT-A,2013-066C,2026-07-15T02:23:29.622624,15.13115170,.0020508,97.3805,244.6073,213.8194,146.1731,0,U,39418,999,69270,.89294E-4,.1524E-4,0
DUBAISAT-2,2013-066D,2026-07-15T05:29:44.036160,15.10377683,.0009365,97.4574,185.6438,303.3350,56.6983,0,U,39419,999,69062,.16496E-3,.2647E-4,0
GPM-CORE,2014-009C,2026-07-15T04:12:47.488032,15.45042870,.0010967,64.9690,214.3524,262.0342,97.9554,0,U,39574,999,70213,.72351E-4,.318E-4,0
SENTINEL-1A,2014-016A,2026-07-15T03:20:01.181184,14.59196274,.000143,98.1768,203.2637,86.6403,273.4961,0,U,39634,999,65409,.50635E-4,.193E-5,0
KAZEOSAT 1,2014-024A,2026-07-15T04:36:42.502176,14.42036986,.0001218,98.3204,267.9408,83.1253,277.0076,0,U,39731,999,64259,-.22727E-6,-.43E-6,0
ALOS-2,2014-029A,2026-07-15T00:05:37.485312,14.79471561,.0001572,97.9235,292.7698,91.6542,268.4849,0,U,39766,999,65569,.29807E-4,.171E-5,0
KAZEOSAT 2,2014-033A,2026-07-15T04:25:22.181664,14.85502508,.0007395,97.5390,34.3155,219.2492,140.8189,0,U,40010,999,65311,.11103E-3,.909E-5,0
HODOYOSHI-4,2014-033B,2026-07-15T03:21:25.125696,14.88191355,.0022646,97.5451,19.6146,209.6764,150.3170,0,U,40011,999,65296,.15782E-3,.1409E-4,0
DEIMOS-2,2014-033D,2026-07-15T04:24:20.734848,14.93794863,.0000919,97.5792,69.6847,107.0606,253.0715,0,U,40013,999,64190,.88383E-4,.883E-5,0
HODOYOSHI-3,2014-033F,2026-07-15T00:08:19.207104,14.85436970,.0031294,97.6445,357.9316,262.5544,97.2116,0,U,40015,999,65175,.58262E-4,.453E-5,0
SPOT 7,2014-034A,2026-07-15T04:38:26.581344,14.60980437,.0001589,98.0621,257.9615,94.8580,265.2803,0,U,40053,999,64122,.15492E-4,.31E-6,0
SKYSAT-B,2014-037D,2026-07-14T21:30:30.430656,14.88091619,.0005536,98.3853,156.4444,173.5386,186.5901,0,U,40072,999,65008,.72253E-4,.603E-5,0
WORLDVIEW-3 (WV-3),2014-048A,2026-07-15T04:43:54.846048,14.85064223,.0001298,97.8556,270.6424,156.3329,203.7945,0,U,40115,999,64606,.52415E-4,.394E-5,0
GAOFEN-2,2014-049A,2026-07-15T05:11:58.725024,14.80929177,.0008269,98.0103,260.3953,134.5385,225.6503,0,U,40118,999,64338,.9667E-4,.694E-5,0
YAOGAN-21,2014-053A,2026-07-15T05:12:53.832672,15.26759822,.000781,97.1457,235.2541,8.5146,351.6224,0,U,40143,999,65923,.12626E-3,.3254E-4,0
YAOGAN-22,2014-063A,2026-07-15T00:29:19.776192,13.15531530,.0006865,100.7762,347.7601,125.5408,234.6344,0,U,40275,999,56347,-.53111E-4,-.67E-6,0
ASNARO,2014-070A,2026-07-15T03:27:51.777792,15.19829896,.0006713,97.3455,271.5072,88.7307,271.4697,0,U,40298,999,64825,.22563E-3,.4771E-4,0
YAOGAN-24,2014-072A,2026-07-15T05:06:35.254656,14.76118384,.0014627,98.1521,333.7893,169.5786,190.5729,0,U,40310,999,62785,.62129E-4,.376E-5,0
CBERS 4,2014-079A,2026-07-15T04:43:17.002848,14.35515940,.0000794,98.3522,252.1474,52.0874,308.0384,0,U,40336,999,60797,.18873E-4,.12E-6,0
YAOGAN-26,2014-088A,2026-07-15T04:33:16.710336,15.48451120,.0001921,97.0641,195.7648,341.8713,18.2470,0,U,40362,999,64203,.34389E-3,.18184E-3,0
SMAP,2015-003A,2026-07-15T04:22:34.385088,14.63389173,.0001599,98.1284,202.8812,95.1759,264.9625,0,U,40376,999,61171,.46002E-4,.191E-5,0
KOMPSAT-3A,2015-014A,2026-07-15T05:45:16.292160,15.55427254,.0056283,97.6887,189.6842,75.4860,285.2627,0,U,40536,999,62617,.27541E-3,.20043E-3,0
SENTINEL-2A,2015-028A,2026-07-15T04:28:53.052096,14.30814152,.0001265,98.5684,270.6396,95.1080,265.0247,0,U,40697,999,57773,.73158E-5,-.24E-6,0
GAOFEN-8,2015-030A,2026-07-15T04:04:55.098624,15.46939934,.0009999,97.6885,31.2390,95.6849,264.5540,0,U,40701,999,61577,.19341E-3,.9663E-4,0
CARBONITE 1 (CBNT-1),2015-032D,2026-07-15T04:07:13.710144,14.83665992,.001386,97.6511,13.0688,197.2371,162.8375,0,U,40718,999,59349,.76569E-4,.582E-5,0
YAOGAN-27,2015-040A,2026-07-15T05:34:28.242048,13.16073778,.0008563,100.1163,181.3996,144.9138,215.2541,0,U,40878,999,52135,.13347E-2,.465E-5,0
GAOFEN-9 01,2015-047A,2026-07-15T04:48:22.343040,14.82935172,.0028462,97.6265,230.6210,50.4791,309.8932,0,U,40894,999,58434,.68193E-4,.506E-5,0
YAOGAN-28,2015-064A,2026-07-15T05:27:51.704928,15.27760432,.0012071,97.3110,333.9292,92.9693,267.2928,0,U,41026,999,59496,.14488E-3,.3863E-4,0
YAOGAN-29,2015-069A,2026-07-15T04:14:40.190784,14.83107495,.0000689,98.0018,224.8524,14.9555,345.1678,0,U,41038,999,57477,.73369E-4,.544E-5,0
KENT RIDGE 1,2015-077B,2026-07-14T06:33:17.975808,15.23280956,.00082992,14.9803,64.5207,262.2466,97.6913,0,U,41167,999,58523,.68866126E-4,.2444E-4,0
