OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
USA 115 (MILSTAR-1 2),1995-060A,2026-08-30T11:44:36.670848,1.00272543,.0006607,14.0991,3.1798,149.8644,271.8396,0,U,23712,999,3363,0,-.196E-5,0
POLAR,1996-013A,2026-08-29T23:31:49.541664,1.29845821,.65458197,79.9608,226.1663,206.5497,94.9786,0,U,23802,999,14581,0,.215E-5,0
INMARSAT 3-F1,1996-020A,2026-08-30T13:59:05.027712,0.99998591,.00062063,10.7532,45.9265,137.1999,193.3475,0,U,23839,999,11099,0,.51E-6,0
USA 119,1996-029A,2026-08-30T14:36:28.461600,13.46480449,.08548712,63.3203,357.2723,50.3752,316.9611,0,U,23893,999,11529,.12830443E-3,.695E-5,0
JAS-2 (FO-29),1996-046B,2026-08-30T12:56:40.469856,13.53277575,.03488132,98.5184,81.2193,263.4746,92.6579,0,U,24278,999,48322,.28836202E-4,-.1E-6,0
INMARSAT 3-F2,1996-053A,2026-08-30T13:11:07.716768,0.99975145,.0005766,10.0210,53.1584,101.5708,94.9545,0,U,24307,999,10966,0,-.1E-6,0
INMARSAT 3-F3,1996-070A,2026-08-29T19:34:57.712800,0.99997700,.00051106,10.4742,48.9230,136.2706,55.6594,0,U,24674,999,10864,0,-.248E-5,0
NAVSTAR 43 (USA 132),1997-035A,2026-08-29T23:47:55.340736,2.00564248,.01054929,56.0358,95.6887,58.5653,302.5597,0,U,24876,999,21343,0,.31E-6,0
FORTE,1997-047A,2026-08-30T08:18:52.687296,14.27969547,.00219357,69.9520,206.5093,184.9011,175.1900,0,U,24920,999,50927,.66558711E-4,.108E-5,0
USA 134,1997-065A,2026-08-30T12:45:44.159040,1.00271776,.00019548,12.8714,21.1451,270.5448,126.4142,0,U,25019,999,3370,0,-.59E-6,0
ORBCOMM FM06,1997-084G,2026-08-30T12:46:10.391808,14.47717368,.00005469,45.0138,54.7656,194.9471,208.2044,0,U,25118,999,50516,.31441796E-3,.1026E-4,0
INMARSAT 3-F5,1998-006B,2026-08-30T08:37:27.223968,1.00272173,.00046675,9.8534,52.4939,110.0639,251.4122,0,U,25153,999,10464,0,-.286E-5,0
ORBCOMM FM04,1998-007C,2026-08-30T04:14:15.662688,14.35842853,.00413813,107.9609,321.7046,199.1295,160.8293,0,U,25159,999,48721,.26699435E-3,.649E-5,0
CELESTIS-02 & TAURUS R/B,1998-007D,2026-08-30T13:46:04.338048,14.22502556,.00619814,108.0087,122.5474,4.4055,17.9474,0,U,25160,999,48109,.41951482E-4,-.34E-6,0
TECHSAT 1B (GO-32),1998-043D,2026-08-30T12:31:08.512320,14.24440574,.00017551,99.0134,237.1771,41.5799,318.5512,0,U,25397,999,46191,.30278899E-4,.23E-6,0
WESTPAC,1998-043E,2026-08-30T12:22:34.912704,14.23056921,.00016879,99.0215,230.3486,37.1278,323.0015,0,U,25398,999,46151,.6120646E-5,-.33E-6,0
ORBCOMM FM19,1998-046C,2026-08-30T07:53:27.480192,14.39612862,.00055547,44.9926,251.1046,302.6761,71.5632,0,U,25415,999,46746,.24540563E-3,.631E-5,0
ORBCOMM FM20,1998-046D,2026-08-28T09:34:22.649664,14.38151766,.0003062,44.9934,269.0072,275.1888,84.8610,0,U,25416,999,46718,.18267E-3,.417E-5,0
ORBCOMM FM27,1998-053G,2026-08-30T12:45:35.714304,14.39255841,.00024284,45.0067,342.2068,227.4315,132.6329,0,U,25481,999,46094,.2518672E-3,.646E-5,0
SCD 2,1998-060A,2026-08-30T14:26:58.763328,14.45548030,.00166634,24.9963,333.2371,188.7586,301.3975,0,U,25504,999,47110,.44935013E-4,.343E-5,0
